Symbol,Start,End,Net
AMD,1075.268817204301,976.0588172043011,-99.20999999999992
UVXY,1075.268817204301,3684.003117204301,2608.7343
SVXY,1075.268817204301,1261.4088172043014,186.14000000000033
SPXL,1075.268817204301,1314.0548172043011,238.78600000000006
SPXS,1075.268817204301,664.7488172043008,-410.5200000000002
LABU,1075.268817204301,1094.4288172043011,19.160000000000082
LABD,1075.268817204301,395.06881720430107,-680.2
NIO,1075.268817204301,15639.908817204301,14564.64
PYPL,1075.268817204301,1454.413817204301,379.145
TWTR,1075.268817204301,1066.818817204301,-8.450000000000045
UBER,1075.268817204301,801.171617204301,-274.09720000000004
LYFT,1075.268817204301,654.4088172043013,-420.8599999999998
WM,1075.268817204301,1066.478817204301,-8.789999999999964
FNGU,1075.268817204301,1797.6222172043013,722.3534000000002
FNGD,1075.268817204301,286.9088172043011,-788.3599999999999
UCO,1075.268817204301,1609.3688172043012,534.1000000000001
SCO,1075.268817204301,2053.9138172043013,978.6450000000002
BLRX,1075.268817204301,751.378017204301,-323.8908
AAPL,1075.268817204301,510.918817204301,-564.3500000000001
GE,1075.268817204301,946.2339172043011,-129.0349
F,1075.268817204301,1438.638817204301,363.3699999999999
CCL,1075.268817204301,896.158817204301,-179.11
BAC,1075.268817204301,926.2238172043011,-149.04499999999996
RIG,1075.268817204301,585.197617204301,-490.0712000000001
MDLZ,1075.268817204301,990.038817204301,-85.23000000000002
CLX,1075.268817204301,1372.268817204301,297.0
AMC,1075.268817204301,776.2388172043011,-299.03
TRVG,1075.268817204301,935.1788172043011,-140.08999999999992
BA,1075.268817204301,662.4105172043013,-412.85829999999976
MU,1075.268817204301,1135.898917204301,60.63009999999986
PLUG,1075.268817204301,3883.808817204301,2808.54
SNDL,1075.268817204301,476.4034172043011,-598.8653999999999
BABA,1075.268817204301,1217.702017204301,142.43319999999994
PTON,1075.268817204301,3090.583817204301,2015.3149999999998
BYND,1075.268817204301,964.6288172043011,-110.63999999999999
CRM,1075.268817204301,1419.568817204301,344.29999999999995
ZM,1075.268817204301,4297.868817204302,3222.6000000000013
TOUR,1075.268817204301,1409.2288172043009,333.9599999999998
RDI,1075.268817204301,871.8652172043008,-203.4036000000002
LIND,1075.268817204301,1191.5173172043008,116.2484999999997
ITUB,1075.268817204301,916.968817204301,-158.30000000000007
CCL,1075.268817204301,896.158817204301,-179.11
TTNP,1075.268817204301,1035.2643172043013,-40.00449999999978
PBR,1075.268817204301,1248.1488172043012,172.8800000000001
XOM,1075.268817204301,944.648817204301,-130.62
ACB,1075.268817204301,1847.5288172043013,772.2600000000002
UCO,1075.268817204301,1611.608817204301,536.3399999999999
SCO,1075.268817204301,2053.9138172043013,978.6450000000002
DCTH,1075.268817204301,1437.1106172043008,361.8417999999997
STAF,1075.268817204301,1580.721217204301,505.4523999999999
SNES,1075.268817204301,223.36881720430105,-851.9
OPGN,1075.268817204301,1800.0699172043014,724.8011000000004
XPEL,1075.268817204301,1816.7288172043013,741.4600000000003
BLNK,1075.268817204301,2225.0646172043007,1149.7957999999996
AYTU,1075.268817204301,732.548817204301,-342.72
ACHV,1075.268817204301,605.0362172043011,-470.23259999999993
IPWR,1075.268817204301,1377.233817204301,301.9649999999999
DGLY,1075.268817204301,1370.653517204301,295.38469999999984
MJ,1075.268817204301,1228.968817204301,153.70000000000005
CGC,1075.268817204301,1514.758817204301,439.49
CRON,1075.268817204301,791.4938172043012,-283.77499999999986
TLRY,1075.268817204301,1051.6288172043012,-23.639999999999873
FTEK,1075.268817204301,2193.161417204301,1117.8926
FUBO,1075.268817204301,1075.268817204301,0.0
NEON,1075.268817204301,2746.6188172043007,1671.3499999999997
NRP,1075.268817204301,1190.1512172043012,114.88240000000019
KDMN,1075.268817204301,496.47881720430127,-578.7899999999997
COCP,1075.268817204301,1333.6234172043012,258.3546000000001
FPRX,1075.268817204301,6214.4188172043005,5139.15
VXRT,1075.268817204301,3875.558817204301,2800.29
ARCT,1075.268817204301,2426.9088172043016,1351.6400000000006
REV,1075.268817204301,805.476317204301,-269.7925
BRKS,1075.268817204301,1759.4788172043013,684.2100000000003
GRAY,1075.268817204301,1075.268817204301,0.0
PACB,1075.268817204301,5387.663817204301,4312.395
AGR,1075.268817204301,1001.258817204301,-74.0100000000001
MEOH,1075.268817204301,2221.0688172043015,1145.8000000000004
MPLN,1075.268817204301,1075.268817204301,0.0
PFS,1075.268817204301,1190.498817204301,115.23000000000002
RPRX,1075.268817204301,930.788817204301,-144.48000000000002
VAC,1075.268817204301,1461.148817204301,385.8799999999999
WETF,1075.268817204301,673.368817204301,-401.9000000000001
KRMD,1075.268817204301,923.4588172043011,-151.80999999999995
HBI,1075.268817204301,1259.9888172043009,184.7199999999998
CHGG,1075.268817204301,1435.9248172043006,360.6559999999995
GFI,1075.268817204301,970.9958172043009,-104.27300000000014
CLGX,1075.268817204301,1637.1863172043008,561.9174999999998
DPZ,1075.268817204301,995.1688172043009,-80.10000000000014
CTVA,1075.268817204301,1088.4288172043011,13.160000000000082
NTES,1075.268817204301,1218.135817204301,142.86699999999996
ROK,1075.268817204301,1063.668817204301,-11.600000000000136
ROKU,1075.268817204301,1468.108817204301,392.8399999999999
DT,1075.268817204301,810.058817204301,-265.21000000000004
