Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-10,RSI,MACD,Signal,Histogram
10:23AM_2020-10-23,84.715,84.715,84.71,84.71,200,,,,,,
10:24AM_2020-10-23,84.71,84.71,84.71,84.71,275,,,,,,
10:25AM_2020-10-23,84.74,84.74,84.74,84.74,152,,,,,,
10:26AM_2020-10-23,84.725,84.725,84.725,84.725,100,,,,,,
10:27AM_2020-10-23,84.74,84.74,84.74,84.74,528,,,,,,
10:29AM_2020-10-23,84.79,84.84,84.79,84.84,210,84.74416666666667,,,,,
10:30AM_2020-10-23,84.825,84.825,84.825,84.825,307,84.76333333333335,,,,,
10:33AM_2020-10-23,84.91,84.94,84.91,84.94,599,84.80166666666669,,,,,
10:35AM_2020-10-23,84.925,84.925,84.925,84.925,132,84.83250000000002,,,,,
10:37AM_2020-10-23,84.965,84.97,84.96,84.97,421,84.87333333333335,84.8125,,,,
10:38AM_2020-10-23,84.985,84.985,84.97,84.97,721,84.91166666666669,84.8385,,,,
10:40AM_2020-10-23,85.02,85.02,85.02,85.02,238,84.94166666666668,84.86949999999999,,,,
10:41AM_2020-10-23,84.94,84.94,84.94,84.94,100,84.96083333333335,84.8895,,,,
10:43AM_2020-10-23,84.99,84.99,84.99,84.99,120,84.96916666666668,84.916,,,,
10:45AM_2020-10-23,84.995,85.01,84.995,85.005,490,84.98250000000003,84.9425,77.06422018348631,,,
10:46AM_2020-10-23,84.955,85.0,84.89,84.89,4028,84.9691666666667,84.94749999999999,62.794709603220845,,,
10:47AM_2020-10-23,84.91,84.98,84.91,84.98,500,84.97083333333336,84.963,67.81710350105294,,,
10:48AM_2020-10-23,84.98,84.98,84.98,84.98,425,84.9641666666667,84.96699999999998,67.81710350105294,,,
10:49AM_2020-10-23,84.99,84.99,84.99,84.99,100,84.97250000000004,84.97349999999999,68.36736396962222,,,
10:50AM_2020-10-23,85.025,85.025,85.0,85.0,502,84.9741666666667,84.97649999999999,68.93928920346876,,,
10:51AM_2020-10-23,85.03,85.03,85.0,85.0,351,84.97333333333337,84.97949999999999,68.93928920346876,,,
10:55AM_2020-10-23,85.05,85.085,85.05,85.085,226,85.00583333333338,84.98599999999999,73.63792476852464,,,
10:56AM_2020-10-23,85.08,85.08,85.05,85.05,400,85.01750000000004,84.99699999999999,69.00880237003399,,,
11:00AM_2020-10-23,85.08,85.08,85.045,85.045,626,85.02833333333336,85.00249999999997,68.3477920258946,,,
11:01AM_2020-10-23,85.01,85.01,84.98,84.98,212,85.0266666666667,84.99999999999997,60.266057461566334,,,
11:04AM_2020-10-23,85.02,85.02,85.02,85.02,100,85.03000000000003,85.01299999999998,63.1534648696223,0.06958289914291527,,
11:06AM_2020-10-23,85.065,85.065,85.065,85.065,310,85.04083333333335,85.02149999999997,66.13496694928378,0.06998456576610579,,
11:07AM_2020-10-23,85.01,85.01,85.01,85.01,274,85.02833333333335,85.02449999999996,59.76919962380887,0.0651142525419317,,
11:10AM_2020-10-23,85.065,85.065,85.065,85.065,283,85.03083333333335,85.03199999999997,63.54777701373657,0.06494390169629582,,
11:13AM_2020-10-23,85.03,85.03,85.01,85.01,235,85.02500000000002,85.03299999999997,57.71051384819495,0.05968287010274764,,
11:17AM_2020-10-23,85.075,85.075,85.075,85.075,100,85.04083333333335,85.04049999999998,62.13700157425425,0.06006601777046683,,
11:18AM_2020-10-23,85.075,85.11,85.075,85.11,205,85.05583333333335,85.04299999999998,64.3036574914976,0.062473714458619156,,
11:19AM_2020-10-23,85.11,85.11,85.11,85.11,107,85.06333333333336,85.04899999999998,64.3036574914976,0.06364813534581515,,
11:21AM_2020-10-23,85.06,85.06,85.06,85.06,100,85.0716666666667,85.05049999999997,58.73508506420315,0.05985432680620306,0.06392785373678894,-0.00407352693058588
11:24AM_2020-10-23,85.095,85.095,85.095,85.095,307,85.0766666666667,85.06199999999998,61.263844060686935,0.05899189188991727,0.06294066136741461,-0.003948769477497338
11:26AM_2020-10-23,85.1,85.1,85.1,85.1,101,85.0916666666667,85.06999999999998,61.62563223195035,0.05804278314478495,0.06196108572288868,-0.00391830257810373
11:27AM_2020-10-23,85.085,85.085,85.085,85.085,133,85.09333333333338,85.07199999999997,59.82056133141849,0.055441142012341516,0.06065709698077924,-0.005215954968437728
11:32AM_2020-10-23,85.06,85.06,85.06,85.06,209,85.08500000000004,85.07699999999997,56.83267280029837,0.05077670930729994,0.05868101944608338,-0.00790431013878344
11:34AM_2020-10-23,85.03,85.045,85.03,85.045,200,85.0741666666667,85.07499999999997,55.055813557854385,0.045347006084725194,0.05601421677381174,-0.010667210689086548
11:38AM_2020-10-23,84.98,84.98,84.955,84.955,1900,85.0566666666667,85.06949999999998,45.80280518030396,0.03339670292078267,0.05149071400320593,-0.018094011082423256
11:41AM_2020-10-23,84.96,84.96,84.95,84.95,324,85.03250000000003,85.05699999999999,45.346832413494575,0.023254480180696646,0.045843467238704076,-0.02258898705800743
11:44AM_2020-10-23,84.915,84.915,84.915,84.915,699,85.00166666666668,85.03749999999998,42.1812813767129,0.012251263160052872,0.03912502642297384,-0.026873763262920965
11:45AM_2020-10-23,84.95,84.95,84.95,84.95,224,84.9791666666667,85.02149999999997,46.224017552103746,0.006282916341490363,0.03255660440667714,-0.026273688065186776
11:46AM_2020-10-23,84.965,84.965,84.965,84.965,136,84.96333333333335,85.01199999999999,47.90517886484392,0.00273184215211586,0.026591651955764885,-0.023859809803649025
11:47AM_2020-10-23,84.965,84.965,84.94,84.94,200,84.94583333333335,84.9965,45.35994892166977,-0.00207577257917535,0.02085816704877684,-0.02293393962795219
11:48AM_2020-10-23,84.945,84.945,84.945,84.945,189,84.94416666666669,84.98099999999998,45.97814849587603,-0.005419906370619287,0.015602552364897618,-0.021022458735516905
11:49AM_2020-10-23,84.945,84.945,84.945,84.945,208,84.94333333333336,84.96699999999998,45.97814849587603,-0.007978188898150052,0.010886404112288084,-0.018864593010438135
11:50AM_2020-10-23,84.95,84.95,84.95,84.95,105,84.94916666666668,84.95599999999999,46.67782108411169,-0.009492761375284431,0.006810571014773581,-0.01630333239005801
11:51AM_2020-10-23,84.91,84.92,84.91,84.92,721,84.94416666666669,84.9435,43.07313223714697,-0.012964375009801188,0.002855581809858628,-0.015819956819659815
11:52AM_2020-10-23,84.93,84.93,84.91,84.91,403,84.93500000000002,84.939,41.91127827522853,-0.016334278854387208,-0.0009823903229905393,-0.015351888531396667
11:55AM_2020-10-23,84.86,84.86,84.86,84.86,308,84.9216666666667,84.92999999999998,36.59592103457953,-0.022776975269891864,-0.005341307312370805,-0.017435667957521057
11:56AM_2020-10-23,84.87,84.87,84.87,84.87,122,84.90916666666668,84.92549999999999,38.28181167625337,-0.026767384424260854,-0.009626522734748816,-0.017140861689512038
11:57AM_2020-10-23,84.895,84.895,84.88,84.88,259,84.89833333333334,84.91849999999998,39.99991297216541,-0.028791011147205836,-0.013459420417240221,-0.015331590729965615
11:58AM_2020-10-23,84.885,84.885,84.885,84.885,142,84.88750000000002,84.91049999999998,40.88600854819027,-0.029649510589436545,-0.016697438451679487,-0.012952072137757058
11:59AM_2020-10-23,84.86,84.86,84.86,84.86,205,84.87750000000001,84.90249999999999,37.87420332584505,-0.031978539946294404,-0.019753658750602473,-0.012224881195691931
12:03PM_2020-10-23,84.905,84.905,84.905,84.905,210,84.87666666666668,84.89849999999998,45.636914902931444,-0.02984910665098539,-0.02177274833067906,-0.008076358320306332
12:06PM_2020-10-23,84.995,84.995,84.985,84.985,551,84.89750000000002,84.90249999999999,56.13132737410134,-0.02145882009027389,-0.021709962682598026,0.000251142592324137
12:07PM_2020-10-23,84.98,84.98,84.98,84.98,221,84.91583333333335,84.90549999999999,55.41135226170072,-0.015039549194085566,-0.020375879984895533,0.005336330790809966
12:08PM_2020-10-23,84.98,84.98,84.97,84.97,403,84.93083333333335,84.91049999999998,53.921681553466456,-0.010636535823067561,-0.018428011152529938,0.007791475329462377
12:10PM_2020-10-23,84.99,84.99,84.99,84.99,200,84.94833333333337,84.9185,56.4437490203462,-0.005470225793658301,-0.01583645408075561,0.01036622828709731
12:12PM_2020-10-23,85.0,85.0,84.99,85.0,762,84.97166666666669,84.93249999999999,57.69070341717067,-0.0005624874424938753,-0.012781660753103264,0.012219173310609389
12:13PM_2020-10-23,85.04,85.1,85.04,85.085,437,85.00166666666671,84.954,66.4760495748111,0.010069643601212874,-0.008211399882240036,0.01828104348345291
12:17PM_2020-10-23,85.045,85.045,85.045,85.045,130,85.0116666666667,84.97049999999999,60.14667964370326,0.015094023836567771,-0.0035503151384784744,0.018644338975046245
12:19PM_2020-10-23,85.05,85.06,85.04,85.04,333,85.02166666666669,84.98599999999999,59.385529028825104,0.018459632011442295,0.0008516742915056796,0.017607957719936614
12:20PM_2020-10-23,85.06,85.06,85.05,85.05,313,85.03500000000001,85.00499999999998,60.46317332111259,0.021683859134085992,0.005018111260021742,0.01666574787406425
12:21PM_2020-10-23,85.045,85.045,85.04,85.04,400,85.04333333333334,85.01849999999999,58.78346265315801,0.023165132701578273,0.008647515548333049,0.014517617153245224
12:22PM_2020-10-23,85.035,85.035,85.035,85.035,128,85.04916666666666,85.02349999999998,57.91708955005122,0.02366282415529497,0.011650577269725433,0.012012246885569537
12:23PM_2020-10-23,85.05,85.1,85.05,85.07,1401,85.04666666666667,85.03249999999998,62.125162830026916,0.026575114335201988,0.014635484682820745,0.011939629652381243
12:24PM_2020-10-23,85.07,85.07,85.07,85.07,124,85.05083333333333,85.04249999999998,62.125162830026916,0.028553972859810983,0.017419182318218793,0.01113479054159219
12:27PM_2020-10-23,84.915,84.915,84.915,84.915,300,85.03,85.03499999999997,41.04510116057934,0.017414286827971637,0.017418203220169362,-3.916392197725327e-06
12:28PM_2020-10-23,84.92,84.94,84.92,84.94,434,85.01166666666667,85.02899999999997,44.326406070596086,0.010482461169672774,0.016031054810070045,-0.005548593640397271
12:29PM_2020-10-23,84.96,84.97,84.93,84.93,300,84.99333333333333,85.01349999999998,43.28853302494634,0.004134364586448669,0.01365171676534577,-0.009517352178897102
12:30PM_2020-10-23,84.91,84.93,84.91,84.93,301,84.97583333333334,85.00199999999998,43.28853302494634,-0.0008863306236150947,0.010744107287553598,-0.011630437911168693
12:32PM_2020-10-23,84.925,84.925,84.925,84.925,269,84.95166666666667,84.99049999999998,42.708654569030095,-0.005208683501905398,0.0075535491296618,-0.012762232631567198
12:33PM_2020-10-23,84.89,84.89,84.89,84.89,500,84.92166666666667,84.97449999999999,38.79139601328127,-0.011327806885148561,0.003777277926699728,-0.01510508481184829
12:34PM_2020-10-23,84.9,84.91,84.9,84.91,515,84.92083333333333,84.96149999999999,42.06163304598831,-0.014397458460223334,0.00014233064931511597,-0.014539789109538449
12:35PM_2020-10-23,84.895,84.895,84.875,84.875,202,84.91000000000001,84.9455,38.213852353030845,-0.019430405324342814,-0.0037722165454164703,-0.015658188778926344
12:37PM_2020-10-23,84.885,84.885,84.885,84.885,242,84.90250000000002,84.92699999999999,39.90536982036231,-0.022354447393666987,-0.007488662715066575,-0.014865784678600412
12:38PM_2020-10-23,84.88,84.9,84.88,84.9,700,84.89750000000002,84.91,42.45045995958521,-0.023194030811026778,-0.010629736334258615,-0.012564294476768163
12:39PM_2020-10-23,84.91,84.91,84.91,84.91,103,84.89500000000002,84.9095,44.148681540337115,-0.022789783849574974,-0.013061745837321887,-0.009728038012253087
12:40PM_2020-10-23,84.9,84.92,84.9,84.92,300,84.90000000000003,84.90749999999998,45.86890165347036,-0.02141563271054281,-0.01473252321196607,-0.0066831094985767385
12:41PM_2020-10-23,84.91,84.91,84.91,84.91,200,84.90000000000003,84.90549999999999,44.39631060579148,-0.020892686573574792,-0.015964555884287815,-0.0049281306892869775
12:42PM_2020-10-23,84.95,84.965,84.95,84.96,300,84.9141666666667,84.90849999999998,52.59175296118755,-0.016256273656310327,-0.01602289943869232,-0.00023337421761800842
12:43PM_2020-10-23,84.95,84.97,84.95,84.97,703,84.92833333333338,84.91299999999998,54.05044880037517,-0.011640778935870344,-0.015146475338127924,0.0035056964022575805
12:44PM_2020-10-23,84.995,84.995,84.995,84.995,110,84.94416666666672,84.92349999999999,57.56567171717544,-0.005897690149936352,-0.013296718300489611,0.007399028150553259
12:45PM_2020-10-23,84.98,84.98,84.96,84.96,681,84.95250000000006,84.9285,51.61261304185292,-0.004122931811664898,-0.011461961002724669,0.007339029191059771
12:46PM_2020-10-23,85.0,85.0,84.98,84.98,645,84.96250000000006,84.939,54.5076968829217,-0.0010900250587440041,-0.009387573813928535,0.008297548755184531
12:47PM_2020-10-23,85.04,85.04,85.04,85.04,220,84.98416666666674,84.9545,61.87693689759926,0.006084930660023247,-0.00629307291913818,0.012378003579161426
12:48PM_2020-10-23,85.03,85.03,85.03,85.03,311,84.99583333333341,84.9675,60.128701006296495,0.01083926997630158,-0.0028666043400502285,0.01370587431635181
12:49PM_2020-10-23,85.0,85.01,85.0,85.01,365,85.00250000000007,84.97749999999999,56.67954932971378,0.01284521365742819,0.00027575925944545556,0.012569454397982734
12:50PM_2020-10-23,85.03,85.06,85.03,85.05,961,85.01166666666673,84.9905,61.44326079037222,0.017461320944264003,0.003712871596409165,0.013748449347854838
12:51PM_2020-10-23,85.04,85.04,84.995,85.0,488,85.0183333333334,84.9995,53.520646237988046,0.01689033581637034,0.0063483644404014,0.010541971375968939
12:52PM_2020-10-23,84.995,85.01,84.98,85.01,1109,85.02333333333341,85.0045,54.77659580780615,0.017048221134189134,0.008488335779158947,0.008559885355030187
12:53PM_2020-10-23,84.99,84.99,84.975,84.975,606,85.01250000000007,85.005,49.71325618924031,0.014185615942935215,0.009627791811914201,0.004557824131021014
12:54PM_2020-10-23,84.97,85.04,84.96,85.04,1023,85.01416666666675,85.00949999999999,57.55935831734925,0.016966359842172096,0.01109550541796578,0.005870854424206316
12:55PM_2020-10-23,85.04,85.05,85.02,85.02,1200,85.01583333333342,85.01549999999999,54.72975678219363,0.017356214921704805,0.012347647318713585,0.00500856760299122
12:56PM_2020-10-23,85.0,85.03,84.99,85.03,2168,85.01250000000007,85.02049999999998,55.897185394386945,0.0182615861102704,0.01353043507702495,0.004731151033245451
12:57PM_2020-10-23,85.02,85.07,85.01,85.03,2096,85.01750000000008,85.01949999999998,55.897185394386945,0.018762813268153877,0.014576910715250736,0.004185902552903142
12:58PM_2020-10-23,85.03,85.03,84.99,84.99,1722,85.01416666666675,85.01549999999999,49.9246111840583,0.015750808183682352,0.014811690208937061,0.0009391179747452912
12:59PM_2020-10-23,84.97,85.01,84.93,84.99,1976,85.01666666666675,85.0135,49.9246111840583,0.013211478750733363,0.014491647917296322,-0.001280169166562959
